Focus,Best Starts for Kids Strategy,Partner,Project Description/Name,Contract Amount,King County Council Dist
Capital Projects,Capital Projects (Priority 2),Africatown Community Land Trust,,"$   500,000.00","2, 4, 5, 8"
Capital Projects,Capital Projects (Priority 2),Children's Therapy Center,,"$   117,000.00","2, 3, 4, 5, 6, 7, 8, 9"
Capital Projects,Capital Projects (Priority 2),City of Tukwila,,"$   500,000.00",
Capital Projects,Capital Projects (Priority 2),East African Community Services,,"$   456,800.00",4
Capital Projects,Capital Projects (Priority 2),El Centro de la Raza,,"$   500,000.00",2
Capital Projects,Capital Projects (Priority 2),Encompass Northwest,,"$   204,502.00","2, 3, 5, 9"
Capital Projects,Capital Projects (Priority 2),Eritrean Association in Greater Seattle,,"$   409,865.00",2
Capital Projects,Capital Projects (Priority 2),Muslim American Youth Foundation,,"$   434,800.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
Capital Projects,Capital Projects (Priority 2),Primm ABC Child Care Center,,"$   128,049.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
Capital Projects,Capital Projects (Priority 2),Southeast Youth & Family Services,,"$   258,500.00","2, 5, 7, 8"
Capital Projects,Capital Projects (Priority 2),The Children's Center at Burke Gilman Gardens,,"$   500,000.00","1, 2, 4"
Capital Projects,Capital Projects (Priority 2),Vashon Youth & Family Services,,"$   147,045.00",8
Capital Projects,Capital Projects (Priority 2),YouthCare,,"$   500,000.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
Technical Assistance & Capacity Building,CB Small Grants,A Sacred Passing,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: Family Dinner- Youth Projects. Contract End Date: 12/31/2023","$   9,999.00","2, 8"
Technical Assistance & Capacity Building,CB Small Grants,A Supportive Community for All (SCFA),"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: Community Engagement & Base-Building Support.  Contract End Date: 12/31/2023","$   9,600.00",3
Technical Assistance & Capacity Building,CB Small Grants,Abubakr Islamic Center of WA,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: ABICWA Capacity Assistance. Contract End Date: 12/31/2023","$   8,179.00","2, 4, 5, 7, 8, 9"
Technical Assistance & Capacity Building,CB Small Grants,Adaptive and Inclusive Movement Initiative,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: AIM: Association Management Software Project. Contract End Date: 12/31/2023","$   9,880.00","1, 2, 4"
Technical Assistance & Capacity Building,CB Small Grants,African Community Housing & Development,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: Increased Fundraising & Financial Capacity at ACHD. Contract End Date: 12/31/2023","$   6,504.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
Technical Assistance & Capacity Building,CB Small Grants,After-School All-Stars,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: All-Stars Office Equipment & JEDI Training Capacity-Building. Contract End Date: 12/31/2023","$   5,000.00","2, 5, 7, 8, 9"
Technical Assistance & Capacity Building,CB Small Grants,Amara,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: Amara's 2023 Small Capacity Building Grant. Contract End Date: 12/31/2023","$   9,990.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
Technical Assistance & Capacity Building,CB Small Grants,Atlantic Street Center,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: ASC New Laptops. Contract End Date: 12/31/2023","$   9,750.00","2, 5, 8"
Technical Assistance & Capacity Building,CB Small Grants,Bike Works,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: New Computers for Bike Works. Contract End Date: 12/31/2023","$   9,999.00","2, 5, 8"
Technical Assistance & Capacity Building,CB Small Grants,Boyer Children's Clinic,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: Increasing Technology for Expanded ESIT Services. Contract End Date: 12/31/2023","$   9,615.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
