Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A12004_001,SE_A12004_002,SE_A12004_003,SE_A12003_001,SE_A12003_002,SE_A12003_003
"53001","Adams County, Washington","wa","050","00",,,,"53","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adams County",,,,19379,6133,13246,1344,104,1240
"53003","Asotin County, Washington","wa","050","00",,,,"53","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Asotin County",,,,21771,4221,17550,974,260,714
"53005","Benton County, Washington","wa","050","00",,,,"53","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Benton County",,,,199531,53279,146252,11379,695,10684
"53007","Chelan County, Washington","wa","050","00",,,,"53","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chelan County",,,,76464,17955,58509,3651,128,3523
"53009","Clallam County, Washington","wa","050","00",,,,"53","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clallam County",,,,75693,12434,63259,2902,125,2777
"53011","Clark County, Washington","wa","050","00",,,,"53","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clark County",,,,487494,116658,370836,25161,1220,23941
"53013","Columbia County, Washington","wa","050","00",,,,"53","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Columbia County",,,,3866,693,3173,54,0,54
"53015","Cowlitz County, Washington","wa","050","00",,,,"53","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cowlitz County",,,,107281,23538,83743,5321,267,5054
"53017","Douglas County, Washington","wa","050","00",,,,"53","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Douglas County",,,,41811,10232,31579,2375,82,2293
"53019","Ferry County, Washington","wa","050","00",,,,"53","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ferry County",,,,7085,1151,5934,300,26,274
"53021","Franklin County, Washington","wa","050","00",,,,"53","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Franklin County",,,,91792,28006,63786,6541,131,6410
"53023","Garfield County, Washington","wa","050","00",,,,"53","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Garfield County",,,,2227,403,1824,203,0,203
"53025","Grant County, Washington","wa","050","00",,,,"53","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Grant County",,,,94924,26658,68266,6206,398,5808
"53027","Grays Harbor County, Washington","wa","050","00",,,,"53","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Grays Harbor County",,,,73703,14122,59581,3369,271,3098
"53029","Island County, Washington","wa","050","00",,,,"53","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Island County",,,,84261,15735,68526,3347,268,3079
"53031","Jefferson County, Washington","wa","050","00",,,,"53","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jefferson County",,,,32419,3842,28577,753,111,642
"53033","King County, Washington","wa","050","00",,,,"53","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"King County",,,,2184129,506577,1677552,98045,3053,94992
