Organization Name,Location,Tax Identification Number,KCEGP Code,Website,Short Description,Category,Category 3,Category 2,Link 1,Link 2,Link 3,Link 4,Status,Community of Opportunity,Current Pledges,Link 1 description,Link 2 description,Link 3 description,Link 4 description,Communities Served 1,Communities Served 2,Communities Served 3
Toys for Tots,"18251 Quantico Gateway Dr
Triangle, VA 22172
(38.552867416, -77.333597791)",20-3021444,2873,https://www.toysfortots.org,Help us fulfill the Christmas Holiday dreams of millions of children in need who otherwise may have been forgotten!,Poverty Relief,,,,https://www.guidestar.org/profile/20-3021444,,,Returning,,,,https://www.guidestar.org/profile/20-3021444,,,,,
Rise Against Hunger,"4801 Glenwood Ave Ste 200
Raleigh, NC 27612
(35.842995982, -78.682300997)",16-1541024,3587,https://www.riseagainsthunger.org,"Growing a global movement to end hunger by empowering communities, nourishing lives, and responding to emergencies.",Food & Hunger,Community Development,International Relief & Development,https://www.charitynavigator.org/ein/161541024,https://www.guidestar.org/profile/16-1541024,,,Returning,,,https://www.charitynavigator.org/ein/161541024,https://www.guidestar.org/profile/16-1541024,,,"Immigrants, Migrants, Refugees",Economically Disadvantaged People,Children & Youth
Arthritis Foundation,"1355 Peachtree St 6th Fl
Atlanta, GA 30309
(33.791822988, -84.384998979)",58-1341679,4091,https://www.arthritis.org,Champions in life-changing solutions and medical breakthroughs for all people with arthritis.,Health (General),,"Disease, Disorders, & Medical Research",,https://www.guidestar.org/profile/58-1341679,,,Returning,,,,https://www.guidestar.org/profile/58-1341679,,,Seniors,Children & Youth,Economically Disadvantaged People
"American Family Association, Inc.","PO Drawer 2440
Tupelo, MS 38803
(34.25075, -88.74628)",64-0607275,4162,https://www.afa.net,"Educates Christians through radio, video, internet and print to act on issues affecting families.",Community Development,Youth Development,Spiritual Development,,https://www.guidestar.org/profile/64-0607275,,,Returning,,,,https://www.guidestar.org/profile/64-0607275,,,Children & Youth,,
PorchLight (formerly Congregations for the Homeless),"13668 SE Eastgate Way
Bellevue, WA 98005
(47.580971991, -122.158169021)",45-3932748,5703,https://porchlightcares.org/,"Our mission is to end homelessness on the Eastside by helping men make the transition from life on the street to stable, independent living.",Housing & Employment,,,,https://www.guidestar.org/profile/45-3932748,,,Returning,,,,https://www.guidestar.org/profile/45-3932748,,,,,
Bloodworks Northwest,"921 Terry Ave
Seattle, WA 98104
(47.608435004, -122.32654201)",91-1019655,9054,https://www.bloodworksnw.org,"Saving lives for over 75 years in King County (and beyond) through exceptional patient care, effective blood products, and world-class medical research.",Health (General),Community Development,"Disease, Disorders, & Medical Research",,,,,Returning,,,,,,,,,
Northwest Chamber Chorus,"PO Box 45312
Seattle, WA 98145-0312
(47.65951998, -122.312699967)",51-0186273,9155,https://www.northwestchamberchorus.org,"We present a broad range of classical repertoire in consistently compelling performances. We create, nurture, and uplift a community inspired by a love of choral music.","Arts, Culture, & Humanities","Recreation, Sports, Leisure, & Athletics",Community Development,,,,,Returning,,,,,,,,,
Seattle Area Feline Rescue,"14717 Aurora Ave N
Shoreline, WA 98133
(47.735713994, -122.345729024)",91-2041961,9224,https://www.seattleareafelinerescue.org/,"We save feline lives by taking in homeless cats, giving them the care they need, finding them loving homes, and supporting their human companions.",Animals,Poverty Relief,Food & Hunger,,https://www.guidestar.org/profile/91-2041961,,,Returning,,,,https://www.guidestar.org/profile/91-2041961,,,,,
DAWN - Domestic Abuse Women's Network,"PO Box 1449
Kent, WA 98035
(47.38092, -122.234155)",91-1176122,9238,https://dawnrising.org/,Provides help and hope to end domestic violence and create peaceful communities in south King County and beyond.,Health (General),,Housing & Employment,https://www.charitynavigator.org/ein/911176122,https://www.guidestar.org/profile/91-1176122,,,Returning,,,https://www.charitynavigator.org/ein/911176122,https://www.guidestar.org/profile/91-1176122,,,Women & Girls,Children & Youth,Economically Disadvantaged People
Sea Mar Community Health Centers,"1040 S Henderson St
Seattle, WA 98108
(47.524018007, -122.318693028)",91-1020139,9243,https://www.seamar.org,"A community-based organization committed to providing quality, comprehensive health, human, housing, educational and cultural services to diverse and under-served communities.",Health (General),"Mental Health, Disabilities, & Substance Abuse",Housing & Employment,https://www.charitynavigator.org/ein/911020139,https://www.guidestar.org/profile/91-1020139,,,Returning,,,https://www.charitynavigator.org/ein/911020139,https://www.guidestar.org/profile/91-1020139,,,"Latino/Latina/Latinx, Hispanic",Economically Disadvantaged People,"Immigrants, Migrants, Refugees"
