Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00001_001,Graduates,Grad Per Capita
53001,"Adams County, Washington",wa,050,00,,,,53,001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adams County,,,,20557,1240,6032
53003,"Asotin County, Washington",wa,050,00,,,,53,003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asotin County,,,,22370,714,3192
53005,"Benton County, Washington",wa,050,00,,,,53,005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Benton County,,,,207560,10684,5147
53007,"Chelan County, Washington",wa,050,00,,,,53,007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chelan County,,,,79076,3523,4455
53009,"Clallam County, Washington",wa,050,00,,,,53,009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clallam County,,,,77333,2777,3591
53011,"Clark County, Washington",wa,050,00,,,,53,011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clark County,,,,504091,23941,4749
53013,"Columbia County, Washington",wa,050,00,,,,53,013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Columbia County,,,,3980,54,1357
53015,"Cowlitz County, Washington",wa,050,00,,,,53,015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cowlitz County,,,,110621,5054,4569
53017,"Douglas County, Washington",wa,050,00,,,,53,017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Douglas County,,,,43189,2293,5309
53019,"Ferry County, Washington",wa,050,00,,,,53,019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ferry County,,,,7260,274,3774
