Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A12006_001,SE_A12006_002,SE_A12006_003,SE_A12006_004,SE_A12006_005,SE_A12006_006,SE_A12006_007,SE_A12006_008,SE_A12006_009,SE_A12006_010,SE_A12006_011
5300300,"Auburn School District, Washington",wa,970,00,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00300,,,,Auburn School District,,,,23898,21203,762,11175,5088,4178,2695,435,884,367,1009
5300330,"Bainbridge Island School District, Washington",wa,970,00,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00330,,,,Bainbridge Island School District,,,,5554,4196,103,2078,1399,616,1358,426,409,223,300
5300390,"Bellevue School District, Washington",wa,970,00,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00390,,,,Bellevue School District,,,,32853,25313,702,11968,6710,5933,7540,1804,2893,853,1990
5302400,"Edmonds School District, Washington",wa,970,00,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02400,,,,Edmonds School District,,,,37564,31583,789,15103,6529,9162,5981,1420,1937,1089,1535
5302820,"Federal Way School District, Washington",wa,970,00,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02820,,,,Federal Way School District,,,,33750,29685,1112,14627,8023,5923,4065,674,1481,429,1481
5303540,"Highline School District, Washington",wa,970,00,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03540,,,,Highline School District,,,,29479,25762,664,13446,5944,5708,3717,467,1392,476,1382
5303750,"Issaquah School District, Washington",wa,970,00,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03750,,,,Issaquah School District,,,,30371,25227,482,13334,7409,4002,5144,1561,1772,586,1225
5303960,"Kent School District, Washington",wa,970,00,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03960,,,,Kent School District,,,,41849,38007,1555,20115,8261,8076,3842,535,1330,418,1559
5304230,"Lake Washington School District, Washington",wa,970,00,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04230,,,,Lake Washington School District,,,,53404,40972,922,21797,9300,8953,12432,3588,4148,1063,3633
5304980,"Mercer Island School District, Washington",wa,970,00,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04980,,,,Mercer Island School District,,,,6881,5335,132,2664,1752,787,1546,400,456,270,420
5305910,"Northshore School District, Washington",wa,970,00,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05910,,,,Northshore School District,,,,37055,29523,1035,15435,6489,6564,7532,2640,2593,537,1762
5307230,"Renton School District, Washington",wa,970,00,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07230,,,,Renton School District,,,,27660,22936,824,10427,4846,6839,4724,954,1783,478,1509
5307710,"Seattle School District, Washington",wa,970,00,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07710,,,,Seattle Public Schools,,,,153158,113981,3895,38654,15063,56369,39177,7287,11291,4278,16321
5307920,"Shoreline School District, Washington",wa,970,00,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07920,,,,Shoreline School District,,,,15140,11943,378,5645,2406,3514,3197,766,1042,495,894
5308130,"Tukwila School District, Washington",wa,970,00,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08130,,,,Tukwila School District,,,,4485,4050,203,1926,702,1219,435,90,116,13,216
5309300,"Vashon Island School District, Washington",wa,970,00,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09300,,,,Vashon Island School District,,,,2057,1397,30,588,555,224,660,19,441,107,93
