Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A12003_001,SE_A12003_002,SE_A12003_003,SE_A12003A_001,SE_A12003A_002,SE_A12003A_003,SE_A12003B_001,SE_A12003B_002,SE_A12003B_003,SE_A14018_001,SE_A10019_001,SE_A10019_002,SE_A10019_003,SE_A10016_001,SE_A10016_002,SE_A10016_003,SE_A10014_001,SE_A10014_002,SE_A10014_003,SE_A13002_001,SE_A13002_002,SE_A13002_003,SE_A13002_004,SE_A13002_005,SE_A13002_006,SE_A13002_007,SE_A13002_008,SE_A13002_009,SE_A13002_010,SE_A13002_011
"5300001","Enumclaw School District, Washington","wa","970","00",,,,"53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00001",,,,"Enumclaw School District",,,,1379,72,1307,580,7,573,799,65,734,1492646400,10788,8115,2673,10788,1113,9675,10788,277,10511,7287,248,9,45,32,32,0,162,120,42,7039
"5300300","Auburn School District, Washington","wa","970","00",,,,"53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00300",,,,"Auburn School District",,,,5256,473,4783,2675,329,2346,2581,144,2437,4012877600,36066,29045,7021,36066,3589,32477,36066,1418,34648,25151,1527,343,205,192,97,95,787,619,168,23624
"5300330","Bainbridge Island School District, Washington","wa","970","00",,,,"53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00330",,,,"Bainbridge Island School District",,,,1358,95,1263,802,95,707,556,0,556,2112830600,9850,7048,2802,9850,1867,7983,9850,122,9728,7393,45,0,22,0,0,0,23,14,9,7348
"5300390","Bellevue School District, Washington","wa","970","00",,,,"53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00390",,,,"Bellevue School District",,,,6344,12,6332,3324,8,3316,3020,4,3016,12944698200,60075,49273,10802,60075,6884,53191,60075,1367,58708,37941,1721,370,405,136,88,48,810,630,180,36220
"5302820","Federal Way School District, Washington","wa","970","00",,,,"53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02820",,,,"Federal Way School District",,,,8371,284,8087,3964,132,3832,4407,152,4255,5682256100,52720,42160,10560,52720,6400,46320,52720,2168,50552,36188,3223,1107,368,273,226,47,1475,1239,236,32965
"5302880","Fife Public Schools, Washington","wa","970","00",,,,"53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02880",,,,"Fife Public Schools",,,,1361,176,1185,697,118,579,664,58,606,939050900,8259,6968,1291,8259,960,7299,8259,151,8108,5513,298,27,25,142,81,61,104,90,14,5215
"5303540","Highline School District, Washington","wa","970","00",,,,"53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03540",,,,"Highline School District",,,,5840,463,5377,3334,266,3068,2506,197,2309,5660894400,51425,40977,10448,51425,5994,45431,51425,1581,49844,31802,2762,770,318,475,262,213,1199,990,209,29040
"5303750","Issaquah School District, Washington","wa","970","00",,,,"53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03750",,,,"Issaquah School District",,,,6242,61,6181,3169,7,3162,3073,54,3019,9804546800,44151,36936,7215,44151,5811,38340,44151,1111,43040,33253,1368,410,213,42,29,13,703,617,86,31885
"5303960","Kent School District, Washington","wa","970","00",,,,"53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03960",,,,"Kent School District",,,,8749,394,8355,4789,275,4514,3960,119,3841,7729264400,61339,50518,10821,61339,8029,53310,61339,2368,58971,43879,2740,571,238,174,138,36,1757,1508,249,41139
"5304230","Lake Washington School District, Washington","wa","970","00",,,,"53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04230",,,,"Lake Washington School District",,,,8690,161,8529,4120,83,4037,4570,78,4492,17873373500,84110,71071,13039,84110,9258,74852,84110,1685,82425,56813,1784,547,511,280,177,103,446,320,126,55029
