Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00001_001,SE_A12003_001,SE_A12003_002,SE_A12003_003,SE_A14024_001,SE_A13003A_001,SE_A13003A_002,SE_A13003A_003,,,Drop out rate,,,Under 18 living in poverty
5300001,"Enumclaw School District, Washington",wa,970,00,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00001,,,,Enumclaw School District,,,,27363,1379,72,1307,55882,5720,342,5378,5.20%,0.052,5.2,6.00%,0.06,6
5300300,"Auburn School District, Washington",wa,970,00,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00300,,,,Auburn School District,,,,100875,5256,473,4783,40731,24905,2509,22396,9.00%,0.09,9,10.10%,0.10,10.1
5300330,"Bainbridge Island School District, Washington",wa,970,00,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00330,,,,Bainbridge Island School District,,,,24681,1358,95,1263,86747,5080,53,5027,7.00%,0.07,7,1.00%,0.01,1
5300390,"Bellevue School District, Washington",wa,970,00,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00390,,,,Bellevue School District,,,,145958,6344,12,6332,89964,28712,2126,26586,0.20%,0.002,0.2,7.40%,0.07,7.4
5302820,"Federal Way School District, Washington",wa,970,00,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02820,,,,Federal Way School District,,,,148578,8371,284,8087,39337,33854,6416,27438,3.40%,0.034,3.4,19.00%,0.19,19
5302880,"Fife Public Schools, Washington",wa,970,00,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02880,,,,Fife Public Schools,,,,22914,1361,176,1185,42028,5158,570,4588,12.90%,0.129,12.9,11.10%,0.11,11.1
5303540,"Highline School District, Washington",wa,970,00,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03540,,,,Highline School District,,,,135537,5840,463,5377,43156,29262,4848,24414,7.90%,0.079,7.9,16.60%,0.17,16.6
5303750,"Issaquah School District, Washington",wa,970,00,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03750,,,,Issaquah School District,,,,119276,6242,61,6181,82702,28301,1463,26838,1.00%,0.01,1,5.20%,0.05,5.2
5303960,"Kent School District, Washington",wa,970,00,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03960,,,,Kent School District,,,,177084,8749,394,8355,44898,41483,5168,36315,4.50%,0.045,4.5,12.50%,0.13,12.5
5304230,"Lake Washington School District, Washington",wa,970,00,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04230,,,,Lake Washington School District,,,,216533,8690,161,8529,83608,50423,2376,48047,1.90%,0.019,1.9,4.70%,0.05,4.7
5304560,"Riverview School District, Washington",wa,970,00,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04560,,,,Riverview School District,,,,21155,989,5,984,66119,5203,370,4833,0.50%,0.005,0.5,7.10%,0.07,7.1
5304980,"Mercer Island School District, Washington",wa,970,00,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04980,,,,Mercer Island School District,,,,25464,1601,0,1601,113575,5844,353,5491,0.00%,0,0,6.00%,0.06,6
5305910,"Northshore School District, Washington",wa,970,00,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05910,,,,Northshore School District,,,,151357,6475,82,6393,66655,35503,1517,33986,1.30%,0.013,1.3,4.30%,0.04,4.3
5307230,"Renton School District, Washington",wa,970,00,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07230,,,,Renton School District,,,,128990,5308,365,4943,48391,25897,2508,23389,6.90%,0.069,6.9,9.70%,0.10,9.7
