SchoolYear,ESD Number,District Code,DIstrict Name,School Code,School Name,Accountability Status,1003 Award,Guidance and Counseling,Teaching,Instructional Professional Development,Instructional Technology,Curriculum,Supervision,Health/Related Services,Learning Resources,Operation of Buildings,Maintenance,Utilities,Pupil Management and Safety,No Activity Reported,,,
2022-2023,ESD 123,1147,Othello School District,5367,Desert Oasis High School,LOWGRADS,65275,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Auburn School District,336985
2022-2023,ESD 123,1147,Othello School District,5285,Wahitis Elementary School,TargetEL,30000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Federal Way School District,497565
2022-2023,ESD 123,3017,Kennewick School District,4418,Amistad Elementary School,COMPRSCH,75855,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Highline School District,231130
2022-2023,ESD 123,3017,Kennewick School District,3315,Edison Elementary School,COMPRSCH,75855,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Issaquah School District,112500
2022-2023,ESD 123,3017,Kennewick School District,4072,Canyon View Elementary School,Target3+,30000,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,kent School District,240855
2022-2023,ESD 123,3052,Kiona-Benton City School District,2759,Kiona-Benton City Elementary (formerly Primary) School,TargetEL,30000,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Renton School District,105855
2022-2023,ESD 123,3053,Finley School District,3078,Finley Elementary School,Target3+,30000,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Seattle School District,306985
2022-2023,ESD 123,3400,Richland School District,4295,Rivers Edge High School,COMPRSCH,75855,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Snoqualmie Valley School District,30000
2022-2023,ESD 123,3400,Richland School District,2721,Carmichael Middle School,Target3+,30000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Enumclaw School District,0
2022-2023,ESD 171,4129,Lake Chelan School District,1940,Chelan School of Innovation,LOWGRADS,65275,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Bellevue School District,0
2022-2023,ESD 171,4246,Wenatchee School District,3209,Abraham Lincoln Elementary School,COMPRSCH,75855,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Fife Public Schools,0
2022-2023,ESD 171,4246,Wenatchee School District,5316,Open Doors  Re-Engagement,COMPRSCH,75855,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Lake Washington School District,0
2022-2023,ESD 114,5121,Port Angeles School District,4003,Lincoln High School,LOWGRADS,65275,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Riverview School District,0
2022-2023,ESD 114,5402,Quillayute Valley School District,3737,Forks Elementary School,TargetEL,30000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Mercer Island School District,0
2022-2023,ESD 112,6037,Vancouver School District,2644,Peter S Ogden Elementary School,COMPRSCH,75855,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Northshore School District,0
2022-2023,ESD 112,6037,Vancouver School District,2318,Lincoln Elementary School,COMPRSCH,75855,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Shoreline School District,0
2022-2023,ESD 112,6037,Vancouver School District,4410,Roosevelt Elementary School,COMPRSCH,75855,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Skykomish School District,0
2022-2023,ESD 112,6037,Vancouver School District,2637,Fruit Valley Elementary School,COMPRSCH,75855,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Snoqualmie Valley School District,0
